file,aslw,asls,aslc,awls,awlc,pdw,pddw,ddwdw,pds,pdds,ddsds,psvw,pdsvw,dsvwdw,fres,fkgl,cli,fog,smog,ari,dca,result
./1000_documents_3_levels/Difficult/00196462.txt.ws,39.56521739,27.43478261,140.173913,0.693406593,3.542857143,0.176923077,0.065934066,0.215053763,0.23296355,0.095087163,0.269058296,0.463736264,0.143956044,0.46953405,108.0141065,8.022632585,4.314738462,16.53377926,18.24360595,15.03946584,5.626870936,Difficult
./1000_documents_3_levels/Difficult/00244955.txt.ws,26.52222222,19.27777778,82.34444444,0.726853791,3.104733976,0.116464181,0.045245078,0.195298373,0.123342939,0.062247839,0.225469729,0.435693339,0.103058232,0.444846293,118.4231137,3.330541405,1.368398827,11.07474561,13.16938589,6.454408137,4.970391916,Difficult
./1000_documents_3_levels/Difficult/00048283.txt.ws,40.13043478,27.94202899,128.1304348,0.696280246,3.192849404,0.064644276,0.01805706,0.101214575,0.084024896,0.02593361,0.108225108,0.537016974,0.091368725,0.512145749,107.1972999,8.276976463,2.264394366,16.31075102,12.33035159,13.67353808,5.637176896,Difficult
./1000_documents_3_levels/Difficult/00077470.txt.ws,55.28571429,37.58730159,174.7301587,0.679873672,3.160493827,0.063451048,0.018949182,0.109452736,0.062922297,0.027871622,0.112054329,0.472868217,0.08240023,0.475953566,93.20268734,13.9939379,2.275395923,22.36808991,13.82878021,21.09878307,6.388690349,Difficult
./1000_documents_3_levels/Difficult/00174283.txt.ws,35.6,25.53333333,121.1333333,0.717228464,3.402621723,0.185393258,0.078651685,0.233333333,0.234986945,0.109660574,0.313432836,0.419475655,0.131086142,0.388888889,110.0234719,6.75729588,3.405985019,14.98157303,17.80541091,12.39634831,5.431533596,Difficult
./1000_documents_3_levels/Difficult/00215308.txt.ws,19.07407407,14.22222222,58.88888889,0.745631068,3.087378641,0.153398058,0.06407767,0.144104803,0.161458333,0.0859375,0.177419355,0.489320388,0.221359223,0.497816594,124.3944265,0.647335491,0.831883495,8.243221863,12.90094567,2.648590435,4.606795627,Difficult
./1000_documents_3_levels/Difficult/00039944.txt.ws,41.75652174,29.72173913,133.3478261,0.711786756,3.193461058,0.053102874,0.020824656,0.121506683,0.060561732,0.029256875,0.116144019,0.484381508,0.08121616,0.473876063,104.2349709,9.094127193,2.296622241,16.91502019,11.63589772,14.48946245,5.716008422,Difficult
./1000_documents_3_levels/Difficult/00006439.txt.ws,28.21980676,19.53140097,90.84782609,0.692116751,3.21929299,0.06188479,0.019772319,0.202631579,0.071728914,0.028567895,0.165354331,0.493452024,0.039287854,0.402631579,119.638819,3.582702298,2.109832064,11.53546186,10.67852568,7.842773364,5.045974024,Difficult
./1000_documents_3_levels/Difficult/00270253.txt.ws,44,32.89473684,147.9473684,0.747607656,3.362440191,0.193779904,0.087320574,0.259786477,0.2416,0.1168,0.302904564,0.409090909,0.137559809,0.409252669,98.92739234,10.39177033,3.327593301,18.37511962,19.81023675,16.4070933,5.849497847,Difficult
./1000_documents_3_levels/Difficult/00088261.txt.ws,32.54198473,23.57251908,103.4122137,0.724372508,3.177809055,0.057705841,0.020408163,0.122191011,0.066709845,0.028173575,0.119834711,0.481585738,0.080928923,0.484550562,112.5229714,5.648969636,2.004418485,13.24761726,10.9575691,9.808473014,5.259694195,Difficult
